номер сеанса;Название организации;Объект испытаний 1;Объект испытаний 2;Объект испытаний 3;Объект испытаний 4;Код среды (Ион);Среднее по трековым детекторам;ТД1;ТД2;ТД3;ТД4;ТД5;ТД6;ТД7;ТД8;ТД9;Среднее по on-line детекторам;ОД1;ОД2;ОД3;ОД4;Интенсивность потока в сеансе;Номер протокола допуска;Угол облучения;Давление на испытательном комплексе;Влажность на испытательном комплексе, %;Температура на испытательном комплексе;Температура в сеансе;неоднородность, %;К;±;Неоднородность по левой стороне;Неоднородность по правой стороне
112;СПЭЛС;20091010002;21061010001;;;АрВак--;5,63E+06;5,60E+06;5,50E+06;5,50E+06;5,90E+06;;;;;;5,68E+06;5,44E+06;5,51E+06;5,07E+06;6,08E+06;5,00E+03;02.03.2005;0;750;55;24;125;6,78;0,99;0,29;1,79;6,78
-;Переход;;;;;;;;;;;;;;;;;;;;;;;-;750;55;24;-;-;-;-;;
113;ПН(Переход);;;;;НеВак--;1,02E+07;1,10E+07;1,10E+07;1,00E+07;1,00E+07;1,00E+07;1,00E+07;9,70E+06;1,00E+07;9,80E+06;1,02E+07;1,02E+07;1,05E+07;9,86E+06;1,02E+07;5,00E+04;02.04.2001;-;732;53;25;25;11,82;1;0,3;;
114;ПН(Переход);;;;;НеВак--;1,05E+07;1,00E+07;1,00E+07;9,80E+06;1,00E+07;1,00E+07;1,10E+07;1,20E+07;1,20E+07;1,00E+07;1,01E+07;1,00E+07;1,04E+07;9,71E+06;1,01E+07;2,00E+04;02.04.2002;-;732;53;25;25;18,33;1,05;0,35;;
115;ПН(Переход);;;;;НеВак--;5,11E+06;5,10E+06;5,10E+06;5,20E+06;4,70E+06;5,50E+06;5,00E+06;5,00E+06;5,20E+06;5,20E+06;5,01E+06;4,99E+06;5,19E+06;4,84E+06;5,04E+06;1,00E+04;02.04.2003;-;732;53;25;25;14,55;1,02;0,3;;
116;ПН(Переход);;;;;НеВак--;4,89E+05;5,00E+05;4,80E+05;4,90E+05;4,70E+05;5,10E+05;4,90E+05;4,90E+05;5,00E+05;4,70E+05;5,02E+05;4,86E+05;5,26E+05;4,79E+05;5,18E+05;1,00E+03;02.04.2004;-;732;53;25;25;7,84;0,97;0,28;;
117;СПЭЛС;20091010002;21061010001;;;НеВак--;3,43E+07;3,20E+07;3,50E+07;3,50E+07;3,50E+07;;;;;;3,69E+07;3,65E+07;3,82E+07;3,56E+07;3,74E+07;2,00E+04;02.04.2002;0;732;53;25;125;8,57;0,93;0,28;8,57;0
118;СПЭЛС;20091010002;21061010001;;;НеВак--;2,85E+07;2,80E+07;2,80E+07;2,90E+07;2,90E+07;;;;;;2,90E+07;2,88E+07;3,00E+07;2,80E+07;2,93E+07;2,00E+04;02.04.2002;0;732;53;25;125;3,45;0,98;0,28;0;0
119;СПЭЛС;21031010001;21031010001;;;НеВак--;8,20E+07;8,20E+07;8,50E+07;8,00E+07;8,10E+07;;;;;;9,01E+07;8,94E+07;9,22E+07;8,79E+07;9,11E+07;5,00E+04;02.04.2002;0;732;53;25;25;5,88;0,91;0,26;3,53;1,23
120;СПЭЛС;8911010001;8911010001;;;НеВак--;2,58E+06;2,80E+06;2,50E+06;2,50E+06;2,50E+06;;;;;;2,56E+06;2,53E+06;2,62E+06;2,50E+06;2,60E+06;1,00E+04;02.04.2002;0;732;53;25;125;10,71;1;0,32;10,71;0
121;СПЭЛС;22015010001;22015010001;;;НеВак--;8,55E+06;8,20E+06;8,60E+06;8,60E+06;8,80E+06;;;;;;8,22E+06;8,15E+06;8,47E+06;7,95E+06;8,30E+06;1,00E+04;02.04.2002;0;736;53;24;25;6,82;1,04;0,3;4,65;2,27
122;СПЭЛС;21097010001;22010010001;;;НеВак--;1,05E+08;1,10E+08;1,10E+08;1,00E+08;1,00E+08;;;;;;1,20E+08;1,20E+08;1,23E+08;1,17E+08;1,20E+08;9,50E+04;02.04.2002;0;736;53;24;25;9,09;0,87;0,27;0;0
123;СПЭЛС;21097010001;22010010001;;;НеВак--;1,10E+08;1,10E+08;1,10E+08;1,10E+08;1,10E+08;;;;;;1,20E+08;1,20E+08;1,24E+08;1,17E+08;1,21E+08;9,50E+04;02.04.2002;0;736;53;24;25;0;0,91;0,26;0;0
124;СПЭЛС;21097010001;;;;НеВак--;1,05E+08;1,10E+08;1,00E+08;;;;;;;;1,20E+08;1,20E+08;1,24E+08;1,17E+08;1,21E+08;9,50E+04;02.04.2002;0;736;53;24;25;9,09;0,87;0,3;;
125;СПЭЛС;21096010001;21096010002;;;НеВак--;1,20E+08;1,20E+08;1,10E+08;1,30E+08;1,20E+08;;;;;;1,35E+08;1,33E+08;1,38E+08;1,32E+08;1,37E+08;9,40E+04;02.04.2002;0;736;53;24;25;15,38;0,89;0,29;8,33;7,69
126;СПЭЛС;21096010001;21096010002;;;НеВак--;1,20E+08;1,20E+08;1,20E+08;1,20E+08;1,20E+08;;;;;;1,38E+08;1,36E+08;1,42E+08;1,34E+08;1,41E+08;9,40E+04;02.04.2002;0;736;53;24;25;0;0,87;0,24;0;0
127;СПЭЛС;21096010001;21096010002;;;НеВак--;1,20E+08;1,20E+08;1,20E+08;1,20E+08;1,20E+08;;;;;;1,35E+08;1,32E+08;1,38E+08;1,32E+08;1,38E+08;9,40E+04;02.04.2002;0;736;53;24;25;0;0,89;0,25;0;0
128;СПЭЛС;20125010002;20125010007;;;НеВак--;3,10E+06;2,80E+06;3,30E+06;3,20E+06;3,10E+06;;;;;;3,03E+06;2,96E+06;3,10E+06;2,95E+06;3,11E+06;2,00E+04;02.04.2002;0;736;53;24;40;15,15;1,02;0,33;15,15;3,13
129;СПЭЛС;20125010002;20125010002;;;НеВак--;3,10E+06;3,00E+06;3,20E+06;;;;;;;;3,12E+06;3,04E+06;3,19E+06;3,03E+06;3,19E+06;2,00E+04;02.04.2002;0;736;53;24;40;6,25;1;0,31;;
130;СПЭЛС;20125010004;20125010004;;;НеВак--;2,00E+06;2,00E+06;2,00E+06;;;;;;;;1,95E+06;1,91E+06;2,00E+06;1,89E+06;1,99E+06;9,40E+04;02.04.2002;0;736;53;24;25;0;1,03;0,29;;
