номер сеанса;Название организации;Объект испытаний 1;Объект испытаний 2;Объект испытаний 3;Объект испытаний 4;Код среды (Ион);Среднее по трековым детекторам;ТД1;ТД2;ТД3;ТД4;ТД5;ТД6;ТД7;ТД8;ТД9;Среднее по on-line детекторам;ОД1;ОД2;ОД3;ОД4;Интенсивность потока в сеансе;Номер протокола допуска;Угол облучения;Давление на испытательном комплексе;Влажность на испытательном комплексе, %;Температура на испытательном комплексе;Температура в сеансе;неоднородность, %;К;±;Неоднородность по левой стороне;Неоднородность по правой стороне
47;СПЭЛС;22004010004;22004010004;;;КсВак--;7,85E+07;8,10E+07;7,60E+07;;;;;;;;7,51E+07;7,90E+07;7,24E+07;7,40E+07;7,57E+07;9,40E+04;02.01.2005;0;;;;125;6,17;1,05;0,33;;
48;СПЭЛС;21097010001;22010010001;;;КсВак--;8,08E+07;8,30E+07;7,80E+07;8,30E+07;7,90E+07;;;;;;7,72E+07;8,08E+07;7,51E+07;7,58E+07;7,73E+07;3,50E+04;02.01.2005;0;744;52;25;125;6,02;1,05;0,3;6,02;4,82
49;СПЭЛС;21097010001;21097010001;;;КсВак--;7,05E+07;7,20E+07;6,80E+07;7,50E+07;6,70E+07;;;;;;6,73E+07;6,96E+07;6,78E+07;6,44E+07;6,78E+07;2,00E+04;02.01.2005;0;744;52;25;125;10,67;1,05;0,32;5,56;10,67
50;СПЭЛС;21097010001;21097010001;;;КсВак--;3,30E+07;3,40E+07;3,20E+07;3,30E+07;3,30E+07;;;;;;3,23E+07;3,31E+07;3,30E+07;3,09E+07;3,36E+07;3,50E+04;02.01.2005;0;744;52;25;125;5,88;1,02;0,29;5,88;0
51;СПЭЛС;21096010002;21096010001;;;КсВак--;1,40E+08;1,40E+08;1,40E+08;1,30E+08;1,50E+08;;;;;;1,36E+08;1,41E+08;1,36E+08;1,32E+08;1,40E+08;1,00E+04;02.01.2005;0;744;52;25;85;13,33;1,03;0,32;0;13,33
52;СПЭЛС;21096010001;21096010002;;;КсВак--;1,28E+08;1,30E+08;1,30E+08;1,20E+08;1,30E+08;;;;;;1,37E+08;1,43E+08;1,34E+08;1,35E+08;1,40E+08;9,50E+04;02.01.2005;0;744;52;25;85;7,69;0,93;0,27;0;7,69
53;СПЭЛС;21096010001;21096010002;;;КсВак--;9,98E+07;9,80E+07;9,60E+07;9,50E+07;1,10E+08;;;;;;1,05E+08;1,09E+08;1,03E+08;1,03E+08;1,08E+08;1,05E+08;02.01.2005;0;744;52;25;85;13,64;0,95;0,31;2,04;13,64
-;Детектор;-;-;;;КсВак--;-;-;-;-;-;;;;;;-;-;-;-;-;-;02.01.2005;-;;;;-;-;-;-;-;-
-;Переход;;;;;;;;;;;;;;;;;;;;;;;-;744;52;25;-;-;-;-;;
54;ПН(Переход);;;;;КрВак-;1,13E+07;1,20E+07;1,10E+07;1,10E+07;1,10E+07;1,10E+07;1,20E+07;1,20E+07;1,10E+07;1,10E+07;1,02E+07;1,00E+07;1,01E+07;9,75E+06;1,07E+07;2,00E+04;02.02.2001;-;733;50;25;25;8,33;1,12;0,33;;
